image,n_cells,particles_total,particles_on_background,particles_in_cells_total,particles_on_boundary,particles_inside_not_boundary,mean_particles_per_cell_total,mean_particles_on_boundary_per_cell,mean_particles_inside_not_boundary_per_cell,clusters_count,frac_near_boundary_le_2px,mean_distance_to_boundary_px
colonn1.png,53.0,125.0,17.0,108.0,2.0,106.0,2.0377358490566038,0.03773584905660377,2.0,116.0,0.037037037037037035,26.223190307617188
colonn10.png,5.0,125.0,23.0,102.0,6.0,96.0,20.4,1.2,19.2,61.0,0.11764705882352941,14.234163284301758
colonn1000.png,6.0,125.0,18.0,107.0,10.0,97.0,17.833333333333332,1.6666666666666667,16.166666666666668,52.0,0.16822429906542055,10.215056419372559
colonn1001.png,11.0,125.0,27.0,98.0,3.0,95.0,8.909090909090908,0.2727272727272727,8.636363636363637,100.0,0.10204081632653061,15.896199226379395
colonn1002.png,33.0,125.0,18.0,107.0,1.0,106.0,3.242424242424242,0.030303030303030304,3.212121212121212,111.0,0.04672897196261682,28.40607452392578
colonn1004.png,12.0,125.0,20.0,105.0,4.0,101.0,8.75,0.3333333333333333,8.416666666666666,109.0,0.08571428571428572,19.984281539916992
colonn1006.png,29.0,125.0,18.0,107.0,4.0,103.0,3.689655172413793,0.13793103448275862,3.5517241379310347,106.0,0.09345794392523364,17.64653205871582
colonn101.png,10.0,125.0,15.0,110.0,2.0,108.0,11.0,0.2,10.8,90.0,0.06363636363636363,20.40766143798828
colonn1010.png,3.0,125.0,16.0,109.0,3.0,106.0,36.333333333333336,1.0,35.333333333333336,92.0,0.06422018348623854,25.92529296875
colonn1011.png,9.0,125.0,16.0,109.0,1.0,108.0,12.11111111111111,0.1111111111111111,12.0,117.0,0.03669724770642202,40.95827102661133
colonn1013.png,6.0,125.0,25.0,100.0,2.0,98.0,16.666666666666668,0.3333333333333333,16.333333333333332,70.0,0.12,12.723596572875977
colonn1014.png,6.0,125.0,18.0,107.0,4.0,103.0,17.833333333333332,0.6666666666666666,17.166666666666668,75.0,0.102803738317757,17.74386978149414
colonn1016.png,24.0,125.0,18.0,107.0,2.0,105.0,4.458333333333333,0.08333333333333333,4.375,111.0,0.06542056074766354,19.262243270874023
colonn102.png,3.0,125.0,30.0,95.0,3.0,92.0,31.666666666666668,1.0,30.666666666666668,48.0,0.06315789473684211,17.988746643066406
colonn1022.png,3.0,125.0,19.0,106.0,6.0,100.0,35.333333333333336,2.0,33.333333333333336,29.0,0.10377358490566038,11.09641170501709
colonn1023.png,1.0,125.0,18.0,107.0,7.0,100.0,107.0,7.0,100.0,19.0,0.1588785046728972,13.177071571350098
colonn1024.png,2.0,125.0,24.0,101.0,3.0,98.0,50.5,1.5,49.0,87.0,0.09900990099009901,28.708885192871094
colonn1025.png,21.0,125.0,17.0,108.0,5.0,103.0,5.142857142857143,0.23809523809523808,4.904761904761905,109.0,0.1111111111111111,15.649670600891113
colonn1027.png,16.0,125.0,27.0,98.0,5.0,93.0,6.125,0.3125,5.8125,106.0,0.09183673469387756,16.512195587158203
colonn1030.png,5.0,125.0,21.0,104.0,7.0,97.0,20.8,1.4,19.4,59.0,0.11538461538461539,13.670170783996582
colonn1031.png,22.0,125.0,18.0,107.0,6.0,101.0,4.863636363636363,0.2727272727272727,4.590909090909091,115.0,0.11214953271028037,22.28168487548828
colonn1032.png,11.0,125.0,27.0,98.0,3.0,95.0,8.909090909090908,0.2727272727272727,8.636363636363637,94.0,0.07142857142857142,18.339872360229492
colonn1033.png,0.0,125.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,0.0,0.0
colonn1037.png,8.0,125.0,18.0,107.0,8.0,99.0,13.375,1.0,12.375,84.0,0.12149532710280374,16.812896728515625
colonn1038.png,7.0,125.0,19.0,106.0,7.0,99.0,15.142857142857142,1.0,14.142857142857142,103.0,0.10377358490566038,20.965599060058594
colonn1039.png,4.0,125.0,33.0,92.0,8.0,84.0,23.0,2.0,21.0,68.0,0.10869565217391304,14.593893051147461
colonn1043.png,1.0,125.0,24.0,101.0,2.0,99.0,101.0,2.0,99.0,24.0,0.10891089108910891,13.454055786132812
colonn1044.png,1.0,125.0,96.0,29.0,29.0,0.0,29.0,29.0,0.0,93.0,1.0,0.0
colonn1045.png,16.0,125.0,22.0,103.0,5.0,98.0,6.4375,0.3125,6.125,106.0,0.07766990291262135,22.464393615722656
colonn1047.png,4.0,125.0,19.0,106.0,5.0,101.0,26.5,1.25,25.25,79.0,0.07547169811320754,19.57973861694336
